msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
user_0000010,40,410,1499,1499,0,20151031,20161214,0
user_0000011,41,90,399,399,1,20160912,20161211,0
user_0000011,41,30,149,119,1,20161211,20170110,0
user_0000011,36,410,1499,1499,1,20170110,20180224,0
user_0000012,41,90,399,399,1,20160330,20160628,0
user_0000012,41,30,149,149,1,20160628,20160728,0
user_0000012,41,410,1499,1499,1,20160728,20170911,0
user_0000013,36,30,149,134,1,20160122,20160221,0
user_0000013,39,30,149,149,1,20160221,20160322,0
user_0000013,37,30,149,149,1,20160322,20160421,0
user_0000013,34,30,149,149,1,20160421,20160521,0
user_0000013,40,30,149,149,1,20160521,20160620,0
user_0000013,40,30,149,149,1,20160620,20160720,0
user_0000013,34,30,149,149,1,20160720,20160819,0
user_0000013,39,30,149,149,1,20160819,20160918,0
user_0000013,39,30,149,149,1,20160918,20161018,0
user_0000013,41,410,1499,1499,1,20161018,20171202,0
user_0000014,40,30,149,134,0,20151213,20160112,0
user_0000014,37,30,149,149,0,20160115,20160214,0
user_0000014,33,30,149,149,0,20160215,20160316,0
user_0000014,39,180,699,699,0,20160317,20160913,0
user_0000014,38,90,399,399,0,20160914,20161213,0
user_0000014,40,30,149,149,0,20161213,20170112,0
user_0000014,41,410,1499,1499,0,20170112,20180226,1
user_0000015,41,30,149,149,0,20150210,20150312,0
user_0000015,41,30,149,149,0,20150316,20150415,0
user_0000015,39,30,149,149,0,20150415,20150515,0
user_0000015,41,30,149,149,0,20150517,20150616,0
user_0000015,32,30,149,149,0,20150620,20150720,0
user_0000015,39,30,149,149,0,20150724,20150823,0
user_0000015,37,30,149,149,0,20150823,20150922,0
user_0000015,41,30,149,149,0,20150925,20151025,0
user_0000015,40,30,149,149,0,20151029,20151128,0
user_0000015,40,30,149,149,0,20151130,20151230,0
user_0000015,41,30,149,149,0,20151230,20160129,0
user_0000015,41,30,149,119,0,20160202,20160303,0
user_0000015,39,30,149,149,0,20160307,20160406,0
user_0000016,38,90,399,399,1,20160224,20160524,0
user_0000016,40,30,149,149,1,20160524,20160623,0
user_0000016,41,30,149,149,1,20160623,20160723,0
user_0000016,34,30,149,149,1,20160723,20160822,0
user_0000016,41,30,149,149,1,20160822,20160921,0
user_0000016,38,30,149,149,1,20160921,20161021,0
user_0000016,39,30,149,149,1,20161021,20161120,0
user_0000016,40,30,149,149,1,20161120,20161220,0
user_0000016,38,30,149,119,1,20161220,20170119,0
user_0000016,41,30,149,149,1,20170119,20170218,0
user_0000016,36,180,699,699,1,20170218,20170817,0
user_0000017,36,180,699,699,1,20150103,20150702,0
user_0000017,36,90,399,399,1,20150702,20150930,0
user_0000017,41,30,149,149,1,20150930,20151030,0
user_0000017,39,90,399,399,1,20151030,20160128,0
user_0000017,36,30,149,149,1,20160128,20160227,0
user_0000017,40,410,1499,1499,1,20160227,20170412,0
user_0000018,36,30,149,149,1,20161222,20170121,0
user_0000018,41,30,149,149,1,20170121,20170220,0
user_0000018,40,30,149,134,1,20170220,20170322,0
user_0000018,41,90,399,359,1,20170322,20170620,0
user_0000019,34,30,149,149,0,20161223,20170122,0
user_0000019,41,30,149,149,0,20170123,20170222,0
user_0000019,41,30,149,149,0,20170222,20170324,0
user_0000019,40,410,1499,1499,0,20170324,20180508,0
user_0000020,37,30,149,149,1,20150114,20150213,0
user_0000020,36,30,149,149,1,20150213,20150315,0
user_0000020,40,30,149,149,1,20150315,20150414,1
user_0000021,31,410,1499,1499,1,20151229,20170211,0
user_0000021,39,30,149,149,1,20170211,20170313,0
user_0000021,39,30,149,149,1,20170313,20170412,0
user_0000022,36,30,149,149,0,20150713,20150812,0
user_0000022,40,30,149,134,0,20150816,20150915,0
user_0000022,36,90,399,399,0,20150915,20151214,1
user_0000023,41,30,149,149,0,20161129,20161229,0
user_0000023,41,30,149,149,0,20161229,20170128,0
user_0000023,40,30,149,149,0,20170129,20170228,0
user_0000023,41,30,149,149,0,20170302,20170401,0
user_0000024,33,30,149,149,0,20150430,20150530,0
user_0000024,40,30,149,149,0,20150530,20150629,0
user_0000024,40,30,149,149,0,20150703,20150802,0
user_0000024,41,30,149,149,0,20150806,20150905,0
user_0000024,41,30,149,149,0,20150907,20151007,0
user_0000024,41,30,149,149,0,20151011,20151110,0
user_0000024,41,410,1499,1499,0,20151111,20161225,0
user_0000024,40,30,149,149,0,20161225,20170124,0
user_0000024,39,30,149,149,0,20170127,20170226,0
user_0000024,38,30,149,149,0,20170301,20170331,0
user_0000025,37,30,149,149,0,20150412,20150512,0
user_0000025,34,410,1499,1499,0,20150514,20160627,0
user_0000026,37,90,399,399,0,20150114,20150414,0
user_0000026,41,30,149,149,0,20150415,20150515,0
user_0000026,41,30,149,149,0,20150515,20150614,0
user_0000026,36,30,149,149,0,20150618,20150718,1
user_0000027,40,30,149,149,1,20151228,20160127,0
user_0000027,39,30,149,149,1,20160127,20160226,0
user_0000027,37,30,149,119,1,20160226,20160327,0
user_0000027,36,90,399,399,1,20160327,20160625,0
user_0000027,32,410,1499,1499,1,20160625,20170809,0
user_0000028,41,180,699,699,0,20151204,20160601,0
user_0000029,41,410,1499,1499,1,20160612,20170727,0
user_0000030,38,30,149,149,0,20150216,20150318,0
user_0000030,41,30,149,149,0,20150322,20150421,0
user_0000030,41,30,149,149,0,20150424,20150524,0
user_0000030,39,30,149,149,0,20150524,20150623,0
user_0000030,40,30,149,149,0,20150627,20150727,0
user_0000030,34,30,149,149,1,20150730,20150829,0
user_0000030,41,30,149,149,1,20150829,20150928,0
user_0000030,41,30,149,149,1,20150928,20151028,0
user_0000030,41,30,149,149,1,20151028,20151127,0
user_0000030,36,30,149,149,1,20151127,20151227,0
user_0000030,39,30,149,149,1,20151227,20160126,0
user_0000030,41,30,149,149,1,20160126,20160225,0
user_0000030,39,410,1499,1499,1,20160225,20170410,0
user_0000031,39,30,149,149,1,20150215,20150317,0
user_0000031,40,410,1499,1349,1,20150317,20160430,0
user_0000032,40,180,699,629,0,20160523,20161119,1
user_0000033,40,30,149,149,1,20160302,20160401,0
user_0000033,37,180,699,699,1,20160401,20160928,0
user_0000033,34,410,1499,1499,1,20160928,20171112,0
user_0000034,40,30,149,149,1,20160121,20160220,0
user_0000034,41,30,149,149,1,20160220,20160321,0
user_0000034,33,180,699,699,1,20160321,20160917,0
user_0000034,41,30,149,149,1,20160917,20161017,0
user_0000034,40,90,399,399,1,20161017,20170115,0
user_0000034,40,30,149,134,1,20170115,20170214,0
user_0000034,39,30,149,149,1,20170214,20170316,0
user_0000034,40,180,699,699,1,20170316,20170912,0
user_0000035,40,30,149,119,1,20170103,20170202,0
user_0000035,31,30,149,134,1,20170202,20170304,0
user_0000035,38,30,149,149,1,20170304,20170403,0
user_0000036,39,30,149,149,0,20150607,20150707,0
user_0000036,39,30,149,149,0,20150710,20150809,0
user_0000036,33,180,699,699,0,20150813,20160209,0
user_0000036,41,30,149,149,0,20160209,20160310,0
user_0000036,40,30,149,149,0,20160314,20160413,0
user_0000036,41,30,149,134,0,20160417,20160517,0
user_0000036,41,180,699,699,0,20160520,20161116,0
user_0000037,40,30,149,149,1,20150712,20150811,0
user_0000037,40,180,699,699,1,20150811,20160207,0
user_0000037,36,90,399,399,1,20160207,20160507,0
user_0000037,37,30,149,149,1,20160507,20160606,0
user_0000037,38,30,149,149,1,20160606,20160706,0
user_0000037,36,90,399,399,1,20160706,20161004,0
user_0000037,41,30,149,149,1,20161004,20161103,0
user_0000037,40,30,149,149,1,20161103,20161203,0
user_0000037,40,30,149,149,1,20161203,20170102,0
user_0000037,37,30,149,149,1,20170102,20170201,0
user_0000037,37,410,1499,1499,1,20170201,20180318,0
user_0000038,41,30,149,149,1,20160115,20160214,0
user_0000038,41,30,149,119,1,20160214,20160315,0
user_0000038,36,30,149,149,1,20160315,20160414,0
user_0000038,41,90,399,359,1,20160414,20160713,0
user_0000038,41,30,149,149,1,20160713,20160812,0
user_0000038,39,30,149,149,1,20160812,20160911,0
user_0000038,41,30,149,149,1,20160911,20161011,0
user_0000038,40,410,1499,1499,1,20161011,20171125,0
user_0000039,39,90,399,399,1,20150714,20151012,0
user_0000039,36,90,399,399,1,20151012,20160110,0
user_0000039,41,90,399,359,1,20160110,20160409,0
user_0000039,40,30,149,149,1,20160409,20160509,0
user_0000039,40,30,149,149,1,20160509,20160608,0
user_0000039,41,30,149,149,1,20160608,20160708,0
user_0000039,41,180,699,699,1,20160708,20170104,0
user_0000039,40,90,399,399,1,20170104,20170404,0
user_0000040,41,30,149,134,1,20160221,20160322,0
user_0000040,31,30,149,149,1,20160322,20160421,0
user_0000040,40,30,149,119,1,20160421,20160521,0
user_0000040,40,30,149,149,1,20160521,20160620,0
user_0000040,36,30,149,149,1,20160620,20160720,0
user_0000040,39,410,1499,1499,1,20160720,20170903,0
user_0000041,34,30,149,149,0,20150712,20150811,0
user_0000041,41,90,399,359,0,20150815,20151113,0
user_0000041,40,410,1499,1349,0,20151117,20161231,1
user_0000042,41,180,699,699,0,20150320,20150916,0
user_0000043,34,410,1499,1499,1,20160204,20170320,0
user_0000043,40,30,149,134,1,20170320,20170419,0
user_0000044,39,30,149,149,0,20151107,20151207,1
user_0000045,40,30,149,149,1,20150911,20151011,0
user_0000045,38,90,399,399,1,20151011,20160109,0
user_0000045,32,30,149,119,1,20160109,20160208,0
user_0000045,40,30,149,149,1,20160208,20160309,0
user_0000045,40,30,149,149,1,20160309,20160408,0
user_0000045,41,90,399,399,1,20160408,20160707,0
user_0000045,38,30,149,149,1,20160707,20160806,0
user_0000045,37,410,1499,1499,1,20160806,20170920,0
user_0000046,41,30,149,149,1,20150909,20151009,0
user_0000046,41,30,149,149,1,20151009,20151108,0
user_0000046,38,30,149,149,1,20151108,20151208,0
user_0000046,38,30,149,149,1,20151208,20160107,0
user_0000046,36,30,149,149,1,20160107,20160206,0
user_0000046,38,30,149,149,1,20160206,20160307,0
user_0000046,32,30,149,119,1,20160307,20160406,0
user_0000046,40,30,149,149,1,20160406,20160506,0
user_0000047,33,30,149,134,1,20160325,20160424,0
user_0000047,40,30,149,149,1,20160424,20160524,0
user_0000047,40,30,149,149,1,20160524,20160623,0
user_0000047,41,30,149,149,1,20160623,20160723,0
user_0000047,41,30,149,149,1,20160723,20160822,0
user_0000047,41,30,149,149,1,20160822,20160921,0
user_0000047,41,90,399,399,1,20160921,20161220,0
user_0000047,38,30,149,149,1,20161220,20170119,0
user_0000047,40,30,149,149,1,20170119,20170218,0
user_0000047,40,30,149,149,1,20170218,20170320,0
user_0000047,41,410,1499,1499,1,20170320,20180504,0
user_0000048,36,30,149,149,1,20150329,20150428,0
user_0000048,36,30,149,149,1,20150428,20150528,0
user_0000048,33,30,149,149,1,20150528,20150627,0
user_0000048,36,30,149,149,1,20150627,20150727,0
user_0000048,34,410,1499,1499,1,20150727,20160909,0
user_0000048,41,30,149,149,1,20160909,20161009,0
user_0000048,32,30,149,149,1,20161009,20161108,0
user_0000048,36,30,149,149,1,20161108,20161208,0
user_0000048,40,30,149,149,1,20161208,20170107,0
user_0000048,36,30,149,149,1,20170107,20170206,1
user_0000049,37,30,149,149,1,20170106,20170205,0
user_0000049,40,90,399,399,1,20170205,20170506,0
user_0000050,40,30,149,149,1,20150226,20150328,0
user_0000050,36,30,149,149,1,20150328,20150427,0
user_0000050,37,30,149,149,1,20150427,20150527,0
user_0000050,41,30,149,149,1,20150527,20150626,0
user_0000050,39,30,149,149,1,20150626,20150726,0
user_0000050,40,30,149,149,1,20150726,20150825,0
user_0000050,40,180,699,699,1,20150825,20160221,0
user_0000050,38,30,149,149,1,20160221,20160322,0
user_0000050,40,30,149,119,1,20160322,20160421,0
user_0000050,39,30,149,119,1,20160421,20160521,0
user_0000050,41,30,149,149,1,20160521,20160620,0
user_0000050,41,90,399,399,1,20160620,20160918,0
user_0000050,36,90,399,399,1,20160918,20161217,0
user_0000050,36,30,149,149,1,20161217,20170116,0
user_0000050,39,30,149,149,1,20170116,20170215,0
user_0000050,38,30,149,149,1,20170215,20170317,0
user_0000050,39,30,149,149,1,20170317,20170416,0
user_0000051,32,30,149,149,0,20150307,20150406,0
user_0000051,36,30,149,149,0,20150406,20150506,0
user_0000052,37,30,149,149,1,20161109,20161209,0
user_0000052,41,30,149,149,1,20161209,20170108,0
user_0000052,41,30,149,149,1,20170108,20170207,0
user_0000052,39,30,149,149,1,20170207,20170309,0
user_0000052,39,30,149,149,1,20170309,20170408,0
user_0000053,41,30,149,119,1,20161217,20170116,0
user_0000053,38,30,149,149,1,20170116,20170215,0
user_0000053,41,30,149,149,1,20170215,20170317,0
user_0000053,41,30,149,149,1,20170317,20170416,0
user_0000054,41,90,399,399,1,20151204,20160303,0
user_0000054,33,30,149,149,0,20160303,20160402,0
user_0000054,41,90,399,399,0,20160402,20160701,0
user_0000054,39,30,149,149,0,20160702,20160801,0
user_0000054,41,30,149,149,0,20160803,20160902,0
user_0000054,38,90,399,399,0,20160905,20161204,0
user_0000054,40,30,149,149,0,20161205,20170104,0
user_0000054,41,30,149,149,0,20170107,20170206,0
user_0000054,40,180,699,699,0,20170209,20170808,0
user_0000055,38,30,149,149,1,20160816,20160915,0
user_0000055,40,30,149,149,1,20160915,20161015,1
user_0000056,38,30,149,149,1,20151213,20160112,0
user_0000056,40,30,149,134,1,20160112,20160211,0
user_0000056,41,410,1499,1499,1,20160211,20170327,0
user_0000056,36,90,399,399,1,20170327,20170625,0
user_0000057,34,30,149,149,1,20160424,20160524,0
user_0000057,36,90,399,399,1,20160524,20160822,0
user_0000057,41,90,399,399,1,20160822,20161120,0
user_0000057,34,30,149,149,1,20161120,20161220,0
user_0000057,41,30,149,149,1,20161220,20170119,0
user_0000057,41,410,1499,1499,1,20170119,20180305,0
user_0000058,37,90,399,399,1,20151116,20160214,0
user_0000058,41,30,149,149,1,20160214,20160315,1
user_0000059,40,410,1499,1499,1,20151008,20161121,0
user_0000059,40,30,149,149,1,20161121,20161221,0
user_0000059,37,30,149,149,1,20161221,20170120,0
user_0000059,40,30,149,149,1,20170120,20170219,0
user_0000059,41,30,149,149,1,20170219,20170321,0
user_0000059,41,30,149,149,1,20170321,20170420,0
user_0000060,40,30,149,149,0,20150723,20150822,0
user_0000060,37,30,149,149,0,20150824,20150923,0
user_0000060,40,30,149,149,0,20150924,20151024,0
user_0000060,39,30,149,149,0,20151025,20151124,0
user_0000061,36,30,149,149,1,20160804,20160903,0
user_0000062,41,30,149,149,1,20160924,20161024,0
user_0000062,31,30,149,149,1,20161024,20161123,0
user_0000062,39,90,399,319,1,20161123,20170221,0
user_0000062,41,30,149,149,1,20170221,20170323,0
user_0000062,36,30,149,149,1,20170323,20170422,0
user_0000063,41,30,149,149,1,20150418,20150518,0
user_0000063,37,30,149,149,1,20150518,20150617,0
user_0000063,39,410,1499,1499,1,20150617,20160731,0
user_0000063,34,30,149,149,1,20160731,20160830,0
user_0000063,38,30,149,149,1,20160830,20160929,0
user_0000063,36,30,149,149,1,20160929,20161029,0
user_0000063,40,30,149,149,1,20161029,20161128,0
user_0000063,40,30,149,149,1,20161128,20161228,0
user_0000063,31,30,149,149,1,20161228,20170127,1
user_0000064,33,30,149,149,0,20160320,20160419,0
user_0000064,37,30,149,149,0,20160420,20160520,0
user_0000064,37,180,699,699,0,20160523,20161119,0
user_0000064,41,30,149,149,1,20161120,20161220,0
user_0000064,41,180,699,699,1,20161220,20170618,0
user_0000065,36,30,149,149,0,20150116,20150215,0
user_0000065,40,30,149,149,0,20150219,20150321,0
user_0000065,38,30,149,134,0,20150324,20150423,0
user_0000065,41,30,149,149,0,20150427,20150527,0
user_0000065,37,30,149,149,0,20150531,20150630,0
user_0000065,38,30,149,119,0,20150701,20150731,0
user_0000065,39,30,149,149,0,20150801,20150831,0
user_0000065,32,30,149,149,0,20150901,20151001,0
user_0000065,41,30,149,149,0,20151002,20151101,0
user_0000065,41,30,149,149,0,20151101,20151201,1
user_0000066,40,30,149,149,0,20151205,20160104,0
user_0000066,39,410,1499,1499,0,20160107,20170220,1
user_0000067,38,410,1499,1499,1,20160312,20170426,1
user_0000068,31,30,149,149,0,20160920,20161020,0
user_0000068,40,30,149,134,0,20161024,20161123,0
user_0000069,39,30,149,149,1,20150611,20150711,0
user_0000069,36,30,149,149,1,20150711,20150810,0
user_0000069,39,90,399,399,1,20150810,20151108,0
user_0000069,31,30,149,119,1,20151108,20151208,0
user_0000069,36,30,149,149,1,20151208,20160107,0
user_0000069,38,30,149,149,1,20160107,20160206,0
user_0000069,37,30,149,149,1,20160206,20160307,0
user_0000069,41,30,149,149,1,20160307,20160406,0
user_0000069,41,30,149,149,1,20160406,20160506,0
user_0000069,36,30,149,149,1,20160506,20160605,0
user_0000069,37,90,399,319,1,20160605,20160903,0
user_0000069,41,90,399,399,1,20160903,20161202,0
user_0000069,39,30,149,149,1,20161202,20170101,0
user_0000069,41,90,399,399,1,20170101,20170401,0
user_0000070,40,30,149,149,1,20150105,20150204,0
user_0000070,41,30,149,149,1,20150204,20150306,0
user_0000070,40,410,1499,1499,1,20150306,20160419,0
user_0000070,39,30,149,149,1,20160419,20160519,0
user_0000070,32,410,1499,1499,1,20160519,20170703,1
user_0000071,36,30,149,149,1,20150727,20150826,0
user_0000071,40,30,149,119,1,20150826,20150925,0
user_0000071,36,30,149,149,1,20150925,20151025,0
user_0000071,37,30,149,149,1,20151025,20151124,0
user_0000071,41,30,149,149,1,20151124,20151224,0
user_0000071,41,30,149,149,1,20151224,20160123,0
user_0000071,40,30,149,149,1,20160123,20160222,0
user_0000071,37,30,149,149,1,20160222,20160323,0
user_0000071,40,30,149,149,1,20160323,20160422,0
user_0000071,41,30,149,149,1,20160422,20160522,0
user_0000071,34,30,149,149,1,20160522,20160621,0
user_0000071,37,30,149,149,1,20160621,20160721,0
user_0000071,41,90,399,399,1,20160721,20161019,0
user_0000071,37,30,149,149,1,20161019,20161118,0
user_0000071,40,30,149,149,1,20161118,20161218,0
user_0000071,41,30,149,149,1,20161218,20170117,0
user_0000071,31,90,399,399,1,20170117,20170417,0
user_0000072,41,90,399,399,1,20150412,20150711,0
user_0000072,40,180,699,699,1,20150711,20160107,0
user_0000072,36,30,149,149,1,20160107,20160206,0
user_0000072,36,30,149,149,1,20160206,20160307,0
user_0000072,40,180,699,699,1,20160307,20160903,0
user_0000072,41,90,399,399,1,20160903,20161202,0
user_0000072,38,30,149,149,1,20161202,20170101,0
user_0000072,41,30,149,149,1,20170101,20170131,0
user_0000072,32,30,149,134,1,20170131,20170302,0
user_0000072,38,30,149,149,1,20170302,20170401,0
user_0000073,36,90,399,399,0,20150821,20151119,0
user_0000073,40,410,1499,1499,0,20151122,20170105,0
user_0000074,36,30,149,149,1,20161204,20170103,0
user_0000074,40,410,1499,1499,1,20170103,20180217,0
user_0000075,41,30,149,149,1,20150913,20151013,0
user_0000075,36,30,149,149,1,20151013,20151112,0
user_0000075,33,30,149,149,1,20151112,20151212,0
user_0000075,33,30,149,149,1,20151212,20160111,0
user_0000075,36,30,149,149,1,20160111,20160210,0
user_0000075,41,30,149,149,1,20160210,20160311,0
user_0000075,41,180,699,699,1,20160311,20160907,0
user_0000075,39,30,149,149,1,20160907,20161007,0
user_0000075,41,30,149,149,1,20161007,20161106,0
user_0000075,41,30,149,149,1,20161106,20161206,0
user_0000075,40,30,149,149,1,20161206,20170105,0
user_0000075,41,90,399,399,1,20170105,20170405,0
user_0000076,40,30,149,149,1,20170117,20170216,0
user_0000076,41,180,699,699,1,20170216,20170815,0
user_0000077,41,30,149,149,0,20160309,20160408,0
user_0000077,41,180,699,699,0,20160410,20161007,0
user_0000077,40,30,149,149,0,20161007,20161106,0
user_0000077,41,410,1499,1499,0,20161106,20171221,0
user_0000078,37,30,149,134,0,20161224,20170123,0
user_0000078,39,30,149,149,0,20170123,20170222,0
user_0000078,41,30,149,149,0,20170225,20170327,0
user_0000078,40,410,1499,1499,0,20170329,20180513,0
user_0000079,41,180,699,699,0,20161021,20170419,0
user_0000080,34,30,149,149,1,20150412,20150512,0
user_0000080,40,30,149,149,1,20150512,20150611,0
user_0000080,37,90,399,399,1,20150611,20150909,0
user_0000080,36,30,149,149,1,20150909,20151009,0
user_0000080,40,180,699,559,1,20151009,20160406,0
user_0000080,41,180,699,699,1,20160406,20161003,0
user_0000080,38,180,699,699,1,20161003,20170401,1
user_0000081,39,30,149,149,0,20161118,20161218,0
user_0000081,40,180,699,699,0,20161221,20170619,0
user_0000082,41,30,149,119,0,20150416,20150516,0
user_0000082,41,30,149,134,0,20150518,20150617,1
user_0000083,41,30,149,119,1,20160201,20160302,0
user_0000083,33,90,399,399,1,20160302,20160531,0
user_0000083,41,30,149,149,1,20160531,20160630,0
user_0000083,31,30,149,149,1,20160630,20160730,0
user_0000084,41,30,149,149,1,20160815,20160914,0
user_0000084,36,30,149,149,1,20160914,20161014,0
user_0000084,39,30,149,149,1,20161014,20161113,0
user_0000084,41,30,149,149,1,20161113,20161213,0
user_0000084,41,180,699,699,1,20161213,20170611,0
user_0000085,36,90,399,399,0,20150426,20150725,0
user_0000085,41,30,149,149,0,20150725,20150824,0
user_0000085,37,410,1499,1499,0,20150824,20161007,1
user_0000086,33,30,149,149,0,20160429,20160529,0
user_0000086,40,30,149,149,0,20160601,20160701,0
user_0000086,37,30,149,149,1,20160705,20160804,0
user_0000086,41,410,1499,1499,1,20160804,20170918,0
user_0000087,41,30,149,149,1,20150924,20151024,0
user_0000087,34,30,149,149,1,20151024,20151123,0
user_0000087,40,410,1499,1499,1,20151123,20170106,0
user_0000087,41,410,1499,1499,1,20170106,20180220,0
user_0000088,41,30,149,149,0,20151021,20151120,1
user_0000089,33,30,149,134,1,20170105,20170204,0
user_0000089,41,30,149,149,0,20170204,20170306,0
user_0000089,41,180,699,699,0,20170309,20170905,0
user_0000090,41,30,149,149,1,20160328,20160427,0
user_0000090,40,30,149,149,1,20160427,20160527,0
user_0000090,40,410,1499,1499,1,20160527,20170711,0
user_0000091,40,30,149,149,1,20150404,20150504,0
user_0000091,38,90,399,399,1,20150504,20150802,0
user_0000091,39,30,149,149,1,20150802,20150901,0
user_0000091,40,30,149,149,1,20150901,20151001,0
user_0000091,36,410,1499,1499,1,20151001,20161114,0
user_0000092,41,30,149,134,1,20150411,20150511,0
user_0000092,34,410,1499,1499,1,20150511,20160624,0
user_0000092,38,30,149,134,1,20160624,20160724,0
user_0000092,39,30,149,149,1,20160724,20160823,0
user_0000092,31,30,149,149,1,20160823,20160922,0
user_0000092,41,30,149,134,1,20160922,20161022,0
user_0000092,37,90,399,399,1,20161022,20170120,0
user_0000092,39,90,399,399,1,20170120,20170420,0
user_0000093,41,30,149,149,1,20160902,20161002,0
user_0000093,41,30,149,149,1,20161002,20161101,0
user_0000093,32,30,149,149,1,20161101,20161201,0
user_0000093,36,180,699,699,1,20161201,20170530,0
user_0000094,37,90,399,399,1,20150923,20151222,0
user_0000094,40,410,1499,1499,1,20151222,20170204,0
user_0000094,38,90,399,399,1,20170204,20170505,0
user_0000095,41,30,149,149,1,20160313,20160412,0
user_0000095,41,410,1499,1499,1,20160412,20170527,0
user_0000096,37,90,399,399,1,20160721,20161019,0
user_0000096,41,30,149,149,1,20161019,20161118,0
user_0000096,41,180,699,699,1,20161118,20170517,0
user_0000097,38,30,149,149,1,20160810,20160909,0
user_0000097,39,180,699,699,1,20160909,20170308,0
user_0000097,37,30,149,149,1,20170308,20170407,0
user_0000098,34,30,149,149,1,20170101,20170131,0
user_0000098,38,30,149,149,1,20170131,20170302,0
user_0000098,40,30,149,134,1,20170302,20170401,0
user_0000099,37,30,149,149,1,20160831,20160930,0
user_0000099,39,30,149,149,1,20160930,20161030,0
user_0000099,41,410,1499,1499,1,20161030,20171214,0
user_0000100,37,30,149,149,0,20150422,20150522,0
user_0000100,39,30,149,149,0,20150522,20150621,0
user_0000100,36,30,149,134,0,20150624,20150724,1
user_0000101,41,30,149,149,1,20160304,20160403,0
user_0000101,41,30,149,149,1,20160403,20160503,0
user_0000101,32,30,149,149,1,20160503,20160602,0
user_0000101,40,30,149,149,1,20160602,20160702,0
user_0000101,40,30,149,149,1,20160702,20160801,0
user_0000101,37,30,149,149,1,20160801,20160831,0
user_0000101,36,90,399,399,1,20160831,20161129,0
user_0000101,37,30,149,149,1,20161129,20161229,0
user_0000101,41,30,149,149,1,20161229,20170128,0
user_0000101,41,30,149,149,1,20170128,20170227,0
user_0000101,41,30,149,149,1,20170227,20170329,0
user_0000101,39,90,399,399,1,20170329,20170627,0
user_0000102,40,410,1499,1499,1,20150707,20160820,0
user_0000102,41,30,149,134,1,20160820,20160919,0
user_0000102,41,30,149,149,1,20160919,20161019,0
user_0000102,41,30,149,149,1,20161019,20161118,0
user_0000102,41,30,149,149,0,20161118,20161218,0
user_0000102,39,410,1499,1499,0,20161218,20180201,0
user_0000103,37,30,149,149,0,20160916,20161016,0
user_0000103,41,30,149,149,0,20161020,20161119,0
user_0000103,38,180,699,699,0,20161122,20170521,1
user_0000104,41,30,149,149,1,20150423,20150523,0
user_0000104,34,30,149,149,1,20150523,20150622,0
user_0000104,40,30,149,149,1,20150622,20150722,0
user_0000104,34,180,699,699,1,20150722,20160118,0
user_0000104,41,30,149,149,1,20160118,20160217,0
user_0000104,37,30,149,149,1,20160217,20160318,0
user_0000104,40,410,1499,1499,1,20160318,20170502,0
user_0000105,41,90,399,399,1,20160906,20161205,0
user_0000105,40,30,149,149,1,20161205,20170104,0
user_0000105,41,30,149,149,1,20170104,20170203,0
user_0000105,37,30,149,149,1,20170203,20170305,0
user_0000105,40,30,149,149,0,20170305,20170404,0
user_0000106,40,30,149,149,0,20170123,20170222,0
user_0000106,40,30,149,149,0,20170225,20170327,0
