msno,is_churn
user_0009657,0
user_0009774,1
user_0009747,0
user_0018450,1
user_0012328,0
user_0014624,0
user_0001680,0
user_0015324,0
user_0012311,0
user_0009713,0
user_0019168,0
user_0003932,0
user_0015753,0
user_0015595,0
user_0015386,0
user_0018565,0
user_0002922,0
user_0015524,0
user_0002073,0
user_0009473,0
user_0010975,0
user_0002358,0
user_0016925,0
user_0019055,1
user_0018939,0
user_0003891,0
user_0011841,0
user_0018899,0
user_0014669,0
user_0003053,0
user_0009534,0
user_0011810,0
user_0012415,0
user_0012404,0
user_0010778,0
user_0009589,0
user_0009499,0
user_0018481,0
user_0009076,0
user_0012823,0
user_0016481,0
user_0019643,0
user_0008017,0
user_0005926,0
user_0014042,0
user_0006008,0
user_0019618,0
user_0006012,0
user_0006048,0
user_0013437,0
user_0013446,0
user_0000450,0
user_0016604,0
user_0013480,0
user_0017325,0
user_0016650,0
user_0008049,1
user_0008089,0
user_0013132,0
user_0005441,0
user_0000761,1
user_0013198,0
user_0016364,0
user_0014145,0
user_0017369,0
user_0008317,0
user_0008306,0
user_0005625,0
user_0008248,0
user_0005693,0
user_0017434,0
user_0014091,0
user_0014121,0
user_0013126,0
user_0006193,0
user_0006205,0
user_0000173,0
user_0006522,1
user_0006527,0
user_0006601,0
user_0000135,0
user_0007256,0
user_0007404,0
user_0007250,1
user_0000098,0
user_0016875,0
user_0000072,0
user_0013790,0
user_0006814,0
user_0006999,0
user_0016817,0
user_0000416,0
user_0007421,0
user_0013969,1
user_0007587,0
user_0013526,0
user_0007576,1
user_0007542,0
user_0013566,0
user_0007507,0
user_0019855,0
user_0006388,0
user_0000293,0
user_0013582,0
user_0013584,0
user_0013586,0
user_0019849,0
user_0007434,0
user_0016748,0
user_0005424,0
user_0017323,0
user_0011299,0
user_0005174,1
user_0005182,0
user_0017635,0
user_0014336,0
user_0012897,0
user_0000874,0
user_0016249,0
user_0005003,0
user_0008601,0
user_0017527,0
user_0008595,0
user_0005262,0
user_0008844,0
user_0013045,0
user_0014296,1
user_0008564,1
user_0012025,0
user_0003500,0
user_0003779,0
user_0003484,1
user_0003425,0
user_0015346,0
user_0003389,0
user_0010509,0
user_0003724,1
user_0007518,0
user_0017162,0
user_0000311,0
user_0009068,0
user_0007876,1
user_0003305,0
user_0000288,0
user_0010631,0
user_0017628,0
user_0014691,0
user_0006325,0
user_0001230,0
user_0005200,0
user_0008567,0
user_0003712,0
user_0018263,0
user_0001982,0
user_0015468,0
user_0014696,0
user_0012006,0
user_0017603,0
user_0010402,0
user_0013519,0
user_0006237,0
user_0018287,0
user_0009073,1
user_0005211,0
user_0015285,0
user_0000379,0
user_0015404,1
user_0003567,1
user_0011934,0
user_0013972,0
user_0015245,0
user_0014390,0
user_0007228,0
user_0000110,0
user_0016835,1
user_0011088,0
user_0002740,0
user_0002735,1
user_0011124,0
user_0007129,0
user_0019957,0
user_0008848,0
user_0011134,0
user_0002683,0
user_0007094,0
user_0013755,0
user_0016888,0
user_0007058,0
user_0002641,1
user_0011184,1
user_0011207,0
user_0013855,0
user_0011333,0
user_0008909,0
user_0016919,0
user_0018604,0
user_0015274,0
user_0013714,0
user_0002871,0
user_0000250,0
user_0018257,0
user_0007430,0
user_0013967,0
user_0010725,1
user_0009008,0
user_0003133,0
user_0013648,0
user_0017751,1
user_0019884,0
user_0003072,0
user_0003065,0
user_0003063,0
user_0010821,0
user_0010918,0
user_0013695,0
user_0010941,0
user_0017069,0
user_0006620,0
user_0000125,0
user_0019326,0
user_0002886,0
user_0011041,0
user_0002411,0
user_0017584,0
user_0004300,0
user_0007887,0
user_0000745,0
user_0008333,1
user_0005877,0
user_0019513,0
user_0014053,0
user_0009584,0
user_0004214,0
user_0018015,0
user_0019257,0
user_0017361,0
user_0009536,0
user_0013269,0
user_0012459,0
user_0008406,0
user_0004257,0
user_0013179,0
user_0005442,0
user_0012586,0
user_0005591,0
user_0004446,0
user_0000719,0
user_0001575,0
user_0015726,0
user_0004126,1
user_0004423,0
user_0005736,0
user_0000647,0
user_0008511,0
user_0005749,0
user_0018166,0
user_0005758,0
user_0009313,0
user_0017239,1
user_0012322,0
user_0009324,0
user_0009689,0
user_0009697,0
user_0008189,0
user_0017404,0
user_0009307,0
user_0014196,0
user_0003988,0
user_0008464,0
user_0009157,0
user_0009909,0
user_0017522,0
user_0007981,0
user_0005321,1
user_0019056,0
user_0000522,0
user_0015866,0
user_0009459,0
user_0005302,0
user_0007951,0
user_0017674,0
user_0001877,0
user_0009994,0
user_0000494,0
user_0004291,0
user_0006014,0
user_0009865,0
user_0001394,0
user_0005334,0
user_0004277,0
user_0019074,0
user_0014644,0
user_0013105,0
user_0009851,0
user_0003920,0
user_0014199,0
user_0017870,0
user_0005427,0
user_0008459,0
user_0011077,0
user_0017446,0
user_0008506,0
user_0004808,0
user_0016918,0
user_0004775,0
user_0015728,0
user_0017079,0
user_0004772,0
user_0005650,0
user_0008440,1
user_0006988,0
user_0016760,0
user_0002583,0
user_0016052,0
user_0008338,0
user_0006662,0
user_0004345,0
user_0011210,0
user_0011216,0
user_0011259,0
user_0015780,0
user_0004203,0
user_0005025,0
user_0017660,1
user_0018714,0
user_0015752,0
user_0004221,0
user_0007307,0
user_0016879,0
user_0006504,0
user_0015249,0
user_0009281,0
user_0007519,1
user_0006303,0
user_0018328,0
user_0007535,0
user_0006270,0
user_0018327,0
user_0005910,0
user_0003963,0
user_0007557,0
user_0005915,0
user_0003934,0
user_0015973,0
user_0003926,0
user_0010249,0
user_0009408,0
user_0003661,0
user_0004640,0
user_0009911,0
user_0018283,0
user_0007599,0
user_0009125,0
user_0007646,0
user_0007772,0
user_0015463,0
user_0016543,0
user_0007825,0
user_0005299,0
user_0006313,0
user_0018338,0
user_0018352,0
user_0010461,1
user_0010809,0
user_0008740,0
user_0016753,0
user_0004416,0
user_0004736,0
user_0017422,0
user_0017125,1
user_0004074,0
user_0016416,0
user_0003220,0
user_0007448,0
user_0005764,0
user_0003268,0
user_0007402,0
user_0015317,0
user_0017541,0
user_0009057,0
user_0003306,0
user_0008072,0
user_0004037,0
user_0018374,0
user_0005189,0
user_0015334,0
user_0017803,0
user_0004653,1
user_0005879,0
user_0009800,0
user_0005892,1
user_0017605,0
user_0007595,0
user_0006967,1
user_0011307,0
user_0012397,1
user_0002402,0
user_0014250,0
user_0014572,0
user_0013119,1
user_0001550,0
user_0001583,0
user_0013248,0
user_0002414,0
user_0014097,0
user_0014955,0
user_0013315,0
user_0012288,0
user_0000604,0
user_0019591,0
user_0013356,1
user_0014048,0
user_0011639,0
user_0019651,0
user_0001496,0
user_0019183,0
user_0012738,0
user_0012651,0
user_0012753,0
user_0012763,0
user_0012770,0
user_0012775,0
user_0019359,0
user_0001295,0
user_0014458,0
user_0012851,0
user_0000997,0
user_0001354,0
user_0019232,0
user_0000947,0
user_0000945,0
user_0012543,0
user_0019430,0
user_0012436,0
user_0001756,0
user_0000632,0
user_0014026,0
user_0002547,1
user_0000035,0
user_0011813,0
user_0002225,0
user_0011854,0
user_0013902,0
user_0019919,0
user_0018866,0
user_0013664,0
user_0014745,0
user_0011907,0
user_0000356,0
user_0018967,1
user_0018783,0
user_0011909,1
user_0014020,0
user_0012123,0
user_0019698,0
user_0012071,0
user_0001200,0
user_0012677,0
user_0009322,0
user_0004368,0
user_0012034,1
user_0015946,0
user_0001322,0
user_0012239,0
user_0019066,1
user_0009247,0
user_0003428,0
user_0003472,0
user_0015611,0
user_0003938,0
user_0009192,0
user_0003388,0
user_0015340,0
user_0009648,0
user_0001777,0
user_0015993,0
user_0001238,0
user_0010552,0
user_0015956,0
user_0003474,0
user_0015620,1
user_0012564,1
user_0018957,1
user_0004159,0
user_0001580,0
user_0010143,0
user_0012360,0
user_0003684,0
user_0010174,0
user_0010196,0
user_0001535,0
user_0001635,0
user_0019170,0
user_0010274,0
user_0001760,0
user_0009938,0
user_0010349,0
user_0012275,0
user_0010371,0
user_0012477,0
user_0015850,0
user_0010432,1
user_0012050,0
user_0012336,0
user_0014601,0
user_0005035,0
user_0019315,0
user_0013999,0
user_0000423,0
user_0007695,0
user_0007722,0
user_0013473,0
user_0007812,0
user_0007838,0
user_0007839,0
user_0017240,0
user_0000474,0
user_0007947,0
user_0017332,0
user_0013423,0
user_0005946,0
user_0019605,0
user_0006244,0
user_0005890,0
user_0006283,0
user_0000335,0
user_0013834,0
user_0007178,0
user_0016832,0
user_0000105,0
user_0017044,0
user_0006655,0
user_0007226,0
user_0007309,0
user_0007344,0
user_0006517,0
user_0007459,0
user_0000266,0
user_0013577,0
user_0000326,0
user_0016719,0
user_0013564,0
user_0009039,0
user_0016464,0
user_0008171,0
user_0005212,0
user_0005204,0
user_0005124,0
user_0005111,1
user_0005098,0
user_0016165,0
user_0008747,0
user_0011756,0
user_0008852,0
user_0001054,0
user_0008890,0
user_0001085,0
user_0004801,0
user_0017739,0
user_0001126,0
user_0008609,0
user_0017391,0
user_0014306,0
user_0008557,0
user_0008214,0
user_0008221,0
user_0016393,0
user_0008252,0
user_0014154,1
user_0013188,0
user_0008398,0
user_0017502,0
user_0000795,0
user_0013094,1
user_0017539,0
user_0008513,0
user_0013059,0
user_0016241,0
user_0008550,1
user_0005265,0
user_0002192,0
user_0006912,0
user_0015114,0
user_0011285,0
user_0002533,0
user_0002661,0
user_0010831,0
user_0002636,0
user_0010609,0
user_0010650,0
user_0018818,0
user_0003045,0
user_0011553,0
user_0002823,0
user_0011634,0
user_0003081,0
user_0002393,0
user_0011439,0
user_0011005,0
user_0011600,1
user_0002889,0
user_0011209,0
user_0002577,0
user_0010769,0
user_0014963,0
user_0003177,0
user_0018523,0
user_0006234,0
user_0004343,0
user_0013993,0
user_0008366,1
user_0009934,0
user_0003155,0
user_0004323,0
user_0007558,0
user_0011359,0
user_0002335,0
user_0009169,0
user_0003902,0
user_0012131,0
user_0017131,0
user_0007578,1
user_0013982,0
user_0000258,0
user_0019499,0
user_0015143,0
user_0012046,0
user_0010089,0
user_0010081,0
user_0005438,0
user_0005523,0
user_0012614,0
user_0007461,0
user_0008409,0
user_0011070,0
user_0003028,0
user_0003720,0
user_0019247,0
user_0012056,0
user_0007509,0
user_0017631,0
user_0003060,1
user_0019549,0
user_0014626,0
user_0000651,0
user_0016064,0
user_0012314,0
user_0018094,0
user_0009687,0
user_0000529,0
user_0009678,0
user_0005685,0
user_0019669,0
user_0016427,0
user_0008016,0
user_0005922,0
user_0004119,0
user_0001547,0
user_0008106,1
user_0008097,0
user_0013364,0
user_0009614,0
user_0017355,0
user_0006211,0
user_0017244,0
user_0011084,0
user_0016369,0
user_0002270,0
user_0004495,0
user_0019215,0
user_0019758,0
user_0002676,0
user_0000438,0
user_0009832,0
user_0012207,0
user_0019186,0
user_0016644,0
user_0017957,0
user_0002280,0
user_0004266,0
user_0015044,0
user_0014103,0
user_0002473,0
user_0011504,0
user_0018136,0
user_0009498,0
user_0005646,0
user_0006200,0
user_0001948,0
user_0004500,0
user_0007113,0
user_0018443,0
user_0006761,0
user_0010445,0
user_0006754,0
user_0014786,0
user_0002096,0
user_0015369,0
user_0000089,0
user_0012942,0
user_0007170,0
user_0003468,0
user_0016174,0
user_0000191,0
user_0007199,0
user_0005125,1
user_0017050,0
user_0012717,1
user_0015019,0
user_0010454,0
user_0015358,0
user_0014791,0
user_0005080,0
user_0003285,0
user_0016060,0
user_0008914,0
user_0008934,0
user_0004985,1
user_0012834,0
user_0013814,1
user_0006835,0
user_0016100,0
user_0018696,0
user_0004795,0
user_0003351,0
user_0008792,0
user_0018371,0
user_0017731,0
user_0018898,0
user_0006812,0
user_0014809,1
user_0013779,0
user_0006800,1
user_0018431,0
user_0010399,0
user_0016469,0
user_0002387,0
user_0003607,0
user_0000121,0
user_0009109,0
user_0012690,0
user_0000139,0
user_0018301,0
user_0003612,1
user_0011231,0
user_0010315,0
user_0011530,0
user_0005332,0
user_0008538,0
user_0013933,0
user_0019895,0
user_0016811,0
user_0005333,0
user_0003080,0
user_0017377,1
user_0010896,0
user_0001502,0
user_0010960,0
user_0008863,0
user_0016294,0
user_0010895,0
user_0016405,0
user_0008788,0
user_0013333,0
user_0000648,0
user_0004908,0
user_0008066,0
user_0008871,0
user_0013133,0
user_0003019,0
user_0013076,0
user_0014345,0
user_0002401,0
user_0001053,0
user_0005776,0
user_0016422,0
user_0012784,0
user_0009186,0
user_0009183,0
user_0012798,0
user_0013326,0
user_0018574,0
user_0016282,0
user_0014273,0
user_0014531,0
user_0015902,1
user_0010923,0
user_0004693,0
user_0009056,0
user_0009439,0
user_0009065,0
user_0016342,0
user_0016213,0
user_0010826,0
user_0001377,0
user_0005564,0
user_0016357,0
user_0019399,0
user_0005543,0
user_0019528,0
user_0011030,0
user_0012602,0
user_0008382,0
user_0005452,0
user_0004769,0
user_0002361,0
user_0008596,0
user_0017600,0
user_0005472,0
user_0010911,0
user_0015938,0
user_0004747,0
user_0002902,0
user_0012695,0
user_0016169,0
user_0012532,1
user_0004386,0
user_0013222,0
user_0012913,0
user_0015999,0
user_0011435,0
user_0008039,0
user_0011944,0
user_0007355,0
user_0007364,0
user_0006529,1
user_0006515,0
user_0016759,0
user_0017127,0
user_0018058,0
user_0001960,0
user_0014709,0
user_0014986,0
user_0014708,0
user_0019813,0
user_0003751,0
user_0006415,0
user_0001892,0
user_0010057,0
user_0003812,0
user_0010020,0
user_0018227,0
user_0014690,0
user_0003831,0
user_0009978,0
user_0013568,0
user_0018221,0
user_0011931,0
user_0003165,0
user_0006567,0
user_0018299,0
user_0018416,0
user_0006904,1
user_0006918,0
user_0006959,0
user_0013823,0
user_0010580,0
user_0010613,0
user_0006991,0
user_0011764,0
user_0016973,1
user_0007014,0
user_0010538,0
user_0016990,0
user_0007072,0
user_0007125,0
user_0002538,1
user_0011737,0
user_0014766,1
user_0007216,1
user_0006669,0
user_0003514,0
user_0010400,1
user_0010331,0
user_0010295,0
user_0019918,0
user_0016780,0
user_0018768,1
user_0007445,0
user_0017686,1
user_0019686,0
user_0009692,0
user_0016552,0
user_0015690,0
user_0012326,0
user_0012264,0
user_0007611,0
user_0018176,0
user_0011378,0
user_0019761,0
user_0009850,0
user_0018670,0
user_0009738,0
user_0014976,0
user_0001595,0
user_0002264,0
user_0015553,0
user_0016558,1
user_0011653,0
user_0013370,0
user_0011708,0
user_0008034,0
user_0011374,0
user_0015706,0
user_0014051,0
user_0017193,0
user_0018186,0
user_0007181,0
user_0000491,0
user_0000097,0
user_0005751,0
user_0005131,0
user_0018619,0
user_0000641,0
user_0008616,0
user_0000968,0
user_0005151,1
user_0007906,0
user_0006650,1
user_0017047,0
user_0005723,0
user_0008642,0
user_0005148,0
user_0002924,0
user_0007040,0
user_0019960,0
user_0004926,1
user_0006890,0
user_0019976,0
user_0006869,0
user_0000559,1
user_0016078,0
user_0002941,0
user_0016952,0
user_0005792,0
user_0019553,0
user_0005000,0
user_0007000,0
user_0016104,0
user_0011114,0
user_0019679,0
user_0006822,0
user_0011323,0
user_0007073,0
user_0007105,0
user_0000983,0
user_0006833,0
user_0000123,0
user_0000353,0
user_0007259,0
user_0002882,0
user_0002846,0
user_0008471,0
user_0013490,0
user_0015001,0
user_0014242,0
user_0017146,0
user_0000791,0
user_0007478,0
user_0006396,0
user_0016315,0
user_0005584,0
user_0000319,0
user_0017148,0
user_0016742,1
user_0014186,0
user_0000365,0
user_0008396,0
user_0006297,1
user_0000359,0
user_0016356,0
user_0017472,0
user_0007528,0
user_0019533,0
user_0011022,1
user_0005350,0
user_0013653,0
user_0011384,1
user_0008611,0
user_0019403,0
user_0016784,0
user_0007312,0
user_0006111,1
user_0019413,0
user_0006565,0
user_0012996,1
user_0007333,0
user_0015079,1
user_0007353,0
user_0002728,0
user_0007873,0
user_0000456,0
user_0013453,0
user_0008536,0
user_0013698,0
user_0002682,0
user_0013069,0
user_0016251,0
user_0000190,0
user_0008515,0
user_0000230,0
user_0017265,0
user_0010605,0
user_0004359,0
user_0009607,0
user_0018047,0
user_0009613,1
user_0003867,0
user_0003516,0
user_0004372,0
user_0001582,0
user_0003881,0
user_0015702,0
user_0003096,0
user_0003471,0
user_0011302,0
user_0011850,0
user_0003455,1
user_0003448,1
user_0004687,0
user_0010447,0
user_0015353,0
user_0009025,0
user_0014889,0
user_0015695,1
user_0003840,0
user_0009969,0
user_0011641,0
user_0010203,0
user_0015906,0
user_0012585,0
user_0003632,0
user_0001370,0
user_0010242,0
user_0003660,0
user_0011979,0
user_0004272,0
user_0001415,0
user_0015957,0
user_0004262,0
user_0018463,0
user_0011717,0
user_0015783,0
user_0011982,0
user_0003722,0
user_0004484,0
user_0009162,0
user_0002246,0
user_0010055,0
user_0019310,0
user_0009669,0
user_0018472,0
user_0010765,0
user_0018868,1
user_0014920,0
user_0003151,1
user_0004813,0
user_0002973,0
user_0002200,0
user_0002190,0
user_0002218,1
user_0014617,1
user_0003346,1
user_0014893,0
user_0010513,0
user_0009740,0
user_0003896,0
user_0019323,0
user_0010753,0
user_0002991,0
user_0001648,0
user_0004065,0
user_0001842,0
user_0013592,0
user_0013252,0
user_0019536,0
user_0019769,0
user_0005678,0
user_0011669,1
user_0003916,0
user_0007449,0
user_0013288,0
user_0016575,0
user_0000510,0
user_0017981,0
user_0001943,0
user_0007883,0
user_0010114,1
user_0002821,0
user_0002672,0
user_0000680,0
user_0006282,0
user_0005618,0
user_0013687,0
user_0009817,0
user_0002515,0
user_0000429,1
user_0004316,0
user_0013661,0
user_0007705,0
user_0006130,0
user_0017356,0
user_0008337,0
user_0015612,0
user_0000754,0
user_0013656,0
user_0015616,0
user_0018473,0
user_0002406,0
user_0011969,0
user_0015047,0
user_0018453,1
user_0014847,0
user_0017424,0
user_0010661,0
user_0005871,0
user_0014065,1
user_0019165,0
user_0016718,0
user_0012345,0
user_0002780,0
user_0005891,0
user_0018646,0
user_0004044,0
user_0019126,0
user_0011413,0
user_0018834,0
user_0003884,0
user_0010999,0
user_0006041,0
user_0018650,0
user_0017296,0
user_0016485,0
user_0009917,0
user_0013429,0
user_0008080,0
user_0008208,0
user_0012441,0
user_0019792,0
user_0019557,0
user_0018621,0
user_0006381,0
user_0014039,0
user_0019766,0
user_0019072,0
user_0016421,0
user_0016497,0
user_0019570,0
user_0016428,0
user_0009694,1
user_0018220,0
user_0013558,1
user_0017279,0
user_0004176,0
user_0013415,1
user_0011651,0
user_0008886,0
user_0008376,0
user_0006770,0
user_0011837,0
user_0005157,0
user_0005173,0
user_0015287,0
user_0006720,0
user_0001216,0
user_0019284,0
user_0017840,0
user_0005238,0
user_0005139,0
user_0009083,0
user_0018741,0
user_0009102,0
user_0005282,1
user_0003520,1
user_0013015,0
user_0010405,0
user_0005304,0
user_0016227,0
user_0004538,0
user_0001258,0
user_0011031,0
user_0009017,0
user_0007096,0
user_0005113,0
user_0003286,0
user_0002215,0
user_0017719,0
user_0004859,0
user_0006870,0
user_0004829,0
user_0004962,0
user_0013846,0
user_0006972,1
user_0004995,0
user_0012862,0
user_0012877,0
user_0003372,0
user_0016023,0
user_0012889,0
user_0017733,0
user_0003396,0
user_0011009,0
user_0000052,0
user_0018554,0
user_0012940,0
user_0016012,0
user_0013744,0
user_0006627,0
user_0004513,0
user_0011035,0
user_0011921,0
user_0005406,0
user_0002875,0
user_0009246,0
user_0014442,0
user_0010890,0
user_0005403,0
user_0006545,0
user_0003623,0
user_0006594,0
user_0019501,0
user_0009296,0
user_0010211,0
user_0005439,0
user_0007292,0
user_0015131,0
user_0015276,1
user_0009251,0
user_0019922,0
user_0019272,0
user_0017473,0
user_0014259,0
user_0003577,0
user_0008508,0
user_0015288,1
user_0010223,0
user_0011811,0
user_0006390,0
user_0007416,0
user_0006559,0
user_0002111,0
user_0013650,0
user_0000225,0
user_0000229,1
user_0013767,0
user_0019063,0
user_0010492,0
user_0015326,0
user_0011790,0
user_0019089,0
user_0010603,0
user_0002217,0
user_0013702,0
user_0018870,0
user_0006530,0
user_0006862,0
user_0003163,0
user_0001762,0
user_0010221,0
user_0007590,0
user_0011949,0
user_0013939,0
user_0003913,0
user_0003327,0
user_0010195,0
user_0015609,0
user_0018692,0
user_0016775,0
user_0007564,0
user_0006311,0
user_0019949,0
user_0013693,0
user_0010657,0
user_0017171,0
user_0006661,0
user_0012086,0
user_0006336,0
user_0010126,0
user_0012079,0
user_0011735,1
user_0010406,0
user_0003528,0
user_0007475,0
user_0014751,0
user_0018228,0
user_0010373,0
user_0011736,0
user_0011713,0
user_0011170,0
user_0013528,0
user_0014753,0
user_0017066,0
user_0014729,0
user_0013609,0
user_0002045,0
user_0003599,0
user_0003176,0
user_0002050,0
user_0010181,0
user_0018354,0
user_0006274,0
user_0003259,0
user_0002080,0
user_0006727,0
user_0018457,0
user_0011332,0
user_0000364,0
user_0003249,0
user_0011860,0
user_0009933,0
user_0010419,0
user_0010282,0
user_0001733,0
user_0004120,0
user_0004393,0
user_0012656,0
user_0003021,1
user_0016250,0
user_0017564,0
user_0009158,1
user_0019269,0
user_0009174,0
user_0011509,0
user_0016287,0
user_0018589,0
user_0011051,0
user_0004422,0
user_0016313,0
user_0004411,0
user_0014189,0
user_0012612,0
user_0007726,0
user_0015844,0
user_0015861,0
user_0005583,0
user_0012565,0
user_0005575,0
user_0000755,0
user_0009108,0
user_0005561,0
user_0009330,0
user_0005542,0
user_0009326,1
user_0011584,0
user_0005501,0
user_0013180,0
user_0018595,0
user_0004574,0
user_0017850,0
user_0019426,1
user_0017642,0
user_0016136,0
user_0016108,0
user_0019330,0
user_0008827,0
user_0019379,0
user_0002377,0
user_0008946,0
user_0008850,0
user_0004823,0
user_0001077,0
user_0004852,1
user_0004916,0
user_0002948,0
user_0018530,0
user_0005593,0
user_0004749,0
user_0004719,0
user_0017597,0
user_0005231,0
user_0005219,0
user_0012710,0
user_0014406,0
user_0004654,0
user_0008735,0
user_0001195,0
user_0000961,0
user_0004678,1
user_0016200,0
user_0019293,0
user_0012726,0
user_0005136,0
user_0009071,1
user_0014511,0
user_0004673,0
user_0002746,0
user_0000639,0
user_0018639,0
user_0011103,0
user_0006058,0
user_0008183,0
user_0011663,0
user_0004196,0
user_0005862,0
user_0018036,0
user_0018791,0
user_0002745,0
user_0005820,0
user_0008130,0
user_0009778,0
user_0018657,0
user_0018631,0
user_0012253,1
user_0006109,0
user_0005745,0
user_0014583,0
user_0019161,0
user_0016498,0
user_0005998,0
user_0019626,0
user_0017960,0
user_0006137,0
user_0015185,0
user_0001480,0
user_0016512,0
user_0005709,0
user_0007792,0
user_0000498,0
user_0011608,0
user_0004222,0
user_0005703,0
user_0016195,0
user_0012725,0
user_0012947,0
user_0012274,0
user_0007884,0
user_0011571,0
user_0007916,0
user_0007118,0
user_0009491,0
user_0012749,0
user_0008881,0
user_0016630,0
user_0010600,0
user_0008895,0
user_0009818,1
user_0008872,0
user_0007802,0
user_0012822,0
user_0015610,0
user_0016656,0
user_0010469,0
user_0014661,0
user_0010617,1
user_0013498,0
user_0007860,0
user_0011002,0
user_0010541,0
user_0009811,0
user_0015098,0
user_0014003,0
user_0008771,0
user_0015623,0
user_0011567,1
user_0010504,0
user_0012980,0
user_0007194,0
user_0009254,0
user_0011086,0
user_0015075,0
user_0007493,0
user_0012435,1
user_0010813,0
user_0009550,1
user_0013689,0
user_0010105,0
user_0015004,0
user_0015878,0
user_0008219,0
user_0016744,0
user_0012456,0
user_0010158,0
user_0014886,0
user_0014502,0
user_0014945,0
user_0008282,0
user_0016376,0
user_0016382,0
user_0011645,0
user_0013883,0
user_0008441,0
user_0009209,0
user_0012696,0
user_0008610,0
user_0013389,0
user_0009095,0
user_0015718,0
user_0016216,0
user_0014679,0
user_0009107,0
user_0013039,0
user_0012652,0
user_0010785,0
user_0013327,0
user_0010320,0
user_0015031,0
user_0011338,0
user_0013070,0
user_0013074,0
user_0011044,0
user_0008098,0
user_0010899,0
user_0013114,0
user_0013155,1
user_0009826,0
user_0013848,0
user_0005558,0
user_0003264,0
user_0002855,0
user_0019013,1
user_0004443,0
user_0004462,0
user_0006645,0
user_0018668,0
user_0017853,0
user_0002649,0
user_0004601,0
user_0003344,0
user_0000921,0
user_0019440,0
user_0018689,1
user_0004797,0
user_0003865,0
user_0017241,0
user_0004884,0
user_0002544,0
user_0006611,0
user_0017909,0
user_0003222,1
user_0001706,0
user_0004218,0
user_0019870,1
user_0003076,0
user_0018056,0
user_0003105,0
user_0001204,0
user_0018080,0
user_0003035,0
user_0018091,0
user_0002539,1
user_0006463,0
user_0019276,0
user_0004047,0
user_0006602,0
user_0006605,0
user_0004312,0
user_0019838,0
user_0019038,0
user_0002891,0
user_0018286,0
user_0001109,0
user_0001942,0
user_0006153,0
user_0018264,0
user_0018269,1
user_0016978,0
user_0002369,0
user_0005675,0
user_0017593,0
user_0002063,0
user_0000675,0
user_0003718,0
user_0003678,1
user_0003627,0
user_0005812,0
user_0000726,0
user_0006206,0
user_0002296,0
user_0017187,0
user_0017462,0
user_0003579,1
user_0006251,0
user_0005516,0
user_0016942,0
user_0002185,0
user_0006243,0
user_0017525,0
user_0019476,0
user_0018032,0
user_0018307,0
user_0005061,0
user_0001974,1
user_0018799,0
user_0017163,1
user_0018248,0
user_0002474,0
user_0001594,0
user_0005100,0
user_0019211,1
user_0019469,0
user_0005785,0
user_0006781,0
user_0009625,0
user_0006147,0
user_0019212,0
user_0004107,0
user_0016699,0
user_0007831,0
user_0006128,0
user_0001407,0
user_0016623,0
user_0010088,0
user_0013479,0
user_0003794,0
user_0010187,0
user_0012597,0
user_0018185,0
user_0000385,0
user_0013485,0
user_0010132,0
user_0019205,0
user_0009810,0
user_0014486,0
user_0001412,0
user_0009334,0
user_0004243,0
user_0017652,1
user_0008176,0
