msno,city,bd,gender,registered_via,registration_init_time
user_0000074,1,31,male,3,20161204
user_0000075,7,15,female,9,20150913
user_0000076,16,42,female,13,20170117
user_0000077,1,-1,male,9,20160309
user_0000078,17,29,female,4,20161224
user_0000079,1,29,male,3,20161021
user_0000080,6,29,female,3,20150412
user_0000081,13,34,female,13,20161118
user_0000082,17,28,female,4,20150416
user_0000083,1,30,female,3,20160201
user_0000084,1,19,male,9,20160815
user_0000085,9,35,female,7,20150426
user_0000086,1,39,male,4,20160429
user_0000087,1,31,female,3,20150924
user_0000088,7,25,male,4,20151021
user_0000089,19,31,male,3,20170105
user_0000090,17,43,,3,20160328
user_0000091,20,2015,,9,20150404
user_0000092,12,27,male,4,20150411
user_0000093,7,32,female,4,20160902
user_0000094,1,40,,3,20150923
user_0000095,14,36,female,7,20160313
user_0000096,9,31,,3,20160721
user_0000097,18,0,male,3,20160810
user_0000098,7,40,male,3,20170101
user_0000099,5,35,female,3,20160831
user_0000100,15,15,female,13,20150422
user_0000101,1,47,male,7,20160304
user_0000102,18,1000,male,4,20150707
user_0000103,12,38,male,4,20160916
user_0000104,1,38,male,9,20150423
user_0000105,18,26,male,3,20160906
user_0000106,1,1000,female,4,20170123
user_0000107,21,42,female,7,20160929
user_0000108,3,45,female,3,20151016
user_0000109,4,29,female,4,20161030
user_0000110,3,27,female,7,20150518
user_0000111,1,50,male,9,20150423
user_0000112,7,34,female,3,20160422
user_0000113,1,16,,13,20160102
user_0000114,14,25,female,3,20150106
user_0000115,1,33,male,7,20170123
user_0000116,1,41,male,9,20160428
user_0000117,6,22,male,3,20150806
user_0000118,19,29,female,4,20160221
user_0000119,1,25,female,9,20150909
user_0000120,1,1000,,3,20161122
user_0000121,11,23,male,7,20161007
user_0000122,13,39,male,9,20151003
user_0000123,21,24,,4,20160810
user_0000124,14,0,female,7,20160817
user_0000125,19,1000,male,3,20160831
user_0000126,13,27,male,3,20161026
user_0000127,9,32,female,3,20161008
user_0000128,17,28,female,3,20170128
user_0000129,10,2015,female,3,20170128
user_0000130,12,25,female,13,20160120
user_0000131,13,35,female,4,20150430
user_0000132,12,28,male,3,20160922
user_0000133,19,0,male,3,20160209
user_0000134,10,2015,female,13,20161229
user_0000135,1,32,female,4,20151108
user_0000136,1,29,female,13,20150908
user_0000137,16,34,female,4,20151101
user_0000138,19,31,male,4,20151207
user_0000139,1,24,female,9,20161007
user_0000140,20,26,female,7,20160315
user_0000141,6,1000,male,4,20170124
user_0000142,1,36,male,4,20151220
user_0000143,16,39,female,9,20160615
user_0000144,21,29,female,4,20161111
user_0000145,1,26,female,13,20150118
user_0000146,21,50,,3,20160901
user_0000147,10,29,male,4,20151113
user_0000148,11,40,male,4,20151019
user_0000149,5,25,male,13,20161223
user_0000150,9,29,female,3,20160430
user_0000151,3,22,,9,20160202
user_0000152,1,31,male,7,20151219
user_0000153,17,2015,,7,20150619
user_0000154,8,33,male,7,20150315
user_0000155,11,34,,13,20150405
user_0000156,1,22,,3,20151228
user_0000157,18,49,,4,20150529
user_0000158,7,25,female,3,20160910
user_0000159,4,35,female,3,20150308
user_0000160,2,40,female,3,20150507
user_0000161,19,37,female,9,20160915
user_0000162,1,27,,9,20160731
user_0000163,19,26,female,3,20160527
user_0000164,1,28,female,7,20151118
user_0000165,1,15,female,4,20160425
user_0000166,8,0,male,4,20160624
user_0000167,17,45,,7,20160812
user_0000168,19,42,female,3,20170112
user_0000169,1,50,male,13,20151218
user_0000170,13,0,male,4,20160708
user_0000171,13,32,female,7,20160820
user_0000172,1,33,male,7,20170124
user_0000173,20,37,female,3,20160903
user_0000174,1,29,female,3,20160508
user_0000175,13,15,male,4,20160601
user_0000176,12,36,female,7,20161126
user_0000177,3,47,female,9,20150522
user_0000178,20,19,female,7,20150126
user_0000179,1,15,,3,20170103
user_0000180,1,0,,9,20150715
user_0000181,9,21,male,9,20160112
user_0000182,12,33,female,9,20151112
user_0000183,10,35,male,4,20160707
user_0000184,21,25,male,9,20161128
user_0000185,3,21,,3,20150724
user_0000186,17,33,male,3,20150812
user_0000187,8,-1,female,3,20150327
user_0000188,13,35,female,3,20160116
user_0000189,9,34,female,3,20150211
user_0000190,1,41,male,3,20150528
user_0000191,1,37,female,4,20150215
user_0000192,3,37,female,3,20150906
user_0000193,1,15,female,4,20170112
user_0000194,15,1000,male,3,20161128
user_0000195,5,52,,7,20150307
user_0000196,1,2015,female,3,20150430
user_0000197,1,25,male,3,20150419
user_0000198,21,29,female,13,20160115
user_0000199,3,48,female,4,20161120
user_0000200,7,37,male,9,20150619
user_0000201,15,2015,,7,20150107
user_0000202,15,29,,7,20150125
user_0000203,14,30,male,3,20160922
user_0000204,1,49,female,4,20160831
user_0000205,11,-1,male,3,20160814
user_0000206,15,35,female,9,20151003
user_0000207,1,15,,13,20161125
user_0000208,1,44,female,9,20151015
user_0000209,13,36,male,3,20160504
user_0000210,5,38,male,3,20150704
user_0000211,7,22,,3,20150713
user_0000212,16,23,female,3,20170130
user_0000213,2,36,,7,20170124
user_0000214,1,32,female,9,20150723
user_0000215,16,34,male,3,20160813
user_0000216,1,28,female,9,20160421
user_0000217,16,28,male,9,20150721
user_0000218,4,26,female,3,20151227
user_0000219,1,20,male,7,20150728
user_0000220,15,1000,female,9,20150318
user_0000221,3,15,male,3,20160806
user_0000222,4,38,male,4,20150913
user_0000223,1,32,,7,20160224
user_0000224,20,38,male,7,20150919
user_0000225,17,31,male,3,20161110
user_0000226,2,15,male,7,20160615
user_0000227,1,38,male,7,20150930
user_0000228,19,42,male,9,20160104
user_0000229,6,21,male,9,20150530
user_0000230,16,19,female,3,20151214
user_0000231,1,44,male,7,20160720
user_0000232,11,25,female,9,20150830
user_0000233,2,31,female,9,20150217
user_0000234,1,21,male,3,20160710
user_0000235,17,34,male,3,20150821
user_0000236,1,2015,male,7,20160304
user_0000237,6,44,female,3,20151114
user_0000238,10,35,,4,20150115
user_0000239,1,15,female,13,20160302
user_0000240,21,20,,3,20150123
user_0000241,17,34,female,3,20160129
user_0000242,21,33,female,4,20161026
user_0000243,18,2015,male,7,20161107
user_0000244,13,0,female,3,20151011
user_0000245,4,41,male,4,20160922
user_0000246,3,36,male,3,20150601
user_0000247,1,21,male,7,20150506
user_0000248,1,36,,9,20160521
user_0000249,1,41,female,3,20150420
user_0000250,1,26,male,3,20150712
user_0000251,1,19,female,4,20160517
user_0000252,6,-1,female,3,20151125
user_0000253,5,39,male,3,20151013
user_0000254,1,29,male,3,20161009
user_0000255,17,26,,4,20170116
user_0000256,1,40,female,3,20160921
user_0000257,6,0,male,7,20150817
user_0000258,11,2015,female,4,20150526
user_0000259,18,31,,3,20150601
user_0000260,11,22,female,3,20160529
user_0000261,21,28,male,7,20150920
user_0000262,9,39,female,3,20151107
user_0000263,9,31,female,3,20160619
user_0000264,20,26,,3,20160923
user_0000265,11,27,female,3,20160308
user_0000266,19,0,male,9,20150813
user_0000267,1,38,female,3,20150709
user_0000268,2,35,male,3,20151123
user_0000269,3,1000,male,9,20161122
user_0000270,1,0,female,7,20160728
user_0000271,10,36,male,3,20161212
user_0000272,19,15,male,4,20160324
user_0000273,10,42,male,9,20160908
user_0000274,20,45,female,3,20150206
user_0000275,9,39,male,7,20150815
user_0000276,13,27,male,3,20150103
user_0000277,16,36,female,7,20150214
user_0000278,15,26,male,7,20160114
user_0000279,4,0,male,9,20160506
user_0000280,8,29,female,7,20160622
user_0000281,4,35,male,3,20160518
user_0000282,1,58,,3,20150818
user_0000283,14,2015,female,4,20161112
user_0000284,1,36,female,7,20160912
user_0000285,15,22,,3,20150119
user_0000286,3,0,female,3,20150709
user_0000287,1,40,male,4,20150629
user_0000288,4,40,male,7,20160507
user_0000289,4,35,female,9,20161212
user_0000290,1,25,female,3,20161125
user_0000291,15,48,female,3,20170128
user_0000292,5,36,female,9,20160910
user_0000293,11,48,male,7,20150919
user_0000294,6,38,,7,20160920
user_0000295,2,0,male,13,20161023
user_0000296,10,18,female,13,20160208
user_0000297,19,24,female,9,20160916
user_0000298,1,36,male,7,20150610
user_0000299,13,39,male,4,20150327
user_0000300,1,25,male,7,20150204
user_0000301,17,16,female,3,20160807
user_0000302,12,2015,male,7,20160520
user_0000303,5,24,female,7,20151104
user_0000304,1,42,female,7,20150819
user_0000305,14,51,female,4,20150904
user_0000306,1,28,female,3,20150225
user_0000307,1,22,male,4,20160625
user_0000308,1,31,female,3,20160408
user_0000309,1,42,,9,20151124
user_0000310,3,19,male,4,20150603
user_0000311,6,35,female,4,20161103
user_0000312,9,21,female,4,20160412
user_0000313,19,19,female,7,20150803
user_0000314,1,21,male,4,20151130
user_0000315,9,29,male,9,20150704
user_0000316,5,19,female,9,20160703
user_0000317,1,32,male,4,20150301
user_0000318,10,21,male,3,20160215
user_0000319,1,21,,7,20161009
user_0000320,14,17,male,13,20170112
user_0000321,13,36,female,3,20151017
user_0000322,14,24,,7,20150609
user_0000323,1,32,female,9,20150216
user_0000324,18,38,,13,20160705
user_0000325,1,1000,female,3,20170113
user_0000326,18,30,female,3,20160708
user_0000327,9,27,,13,20150429
user_0000328,15,20,female,3,20150130
user_0000329,1,37,,3,20150617
user_0000330,6,31,female,4,20160624
user_0000331,1,15,male,4,20160529
user_0000332,1,25,male,7,20160725
user_0000333,1,-1,female,3,20170108
user_0000334,2,35,,9,20150622
user_0000335,13,34,male,3,20170104
user_0000336,8,40,female,7,20151223
user_0000337,1,15,female,3,20170123
user_0000338,6,28,female,4,20160211
user_0000339,18,27,female,3,20150918
user_0000340,1,31,male,3,20150411
user_0000341,17,39,male,3,20150926
user_0000342,10,28,female,7,20150911
user_0000343,11,19,female,4,20150215
user_0000344,19,2015,male,3,20150514
user_0000345,1,26,female,13,20160809
user_0000346,5,52,female,9,20160722
user_0000347,13,1000,male,9,20161016
user_0000348,20,43,male,3,20160622
user_0000349,12,2015,male,4,20150117
user_0000350,16,34,female,3,20150810
user_0000351,1,41,female,3,20150907
user_0000352,1,-1,female,3,20151030
user_0000353,15,36,male,4,20161108
user_0000354,15,22,male,3,20160904
user_0000355,16,49,male,3,20151110
user_0000356,12,33,male,9,20160607
user_0000357,7,31,male,4,20160826
user_0000358,8,2015,female,3,20160810
user_0000359,5,36,female,7,20151114
user_0000360,1,43,female,3,20150310
user_0000361,20,27,male,4,20170103
user_0000362,5,15,female,3,20150130
user_0000363,1,18,female,4,20150309
user_0000364,1,31,male,7,20160812
user_0000365,21,36,male,4,20160711
user_0000366,8,48,,4,20150402
user_0000367,8,26,,9,20161216
user_0000368,2,33,male,9,20150405
user_0000369,3,24,male,3,20160827
user_0000370,17,0,female,3,20160320
user_0000371,10,43,male,3,20161008
user_0000372,1,42,male,13,20160126
user_0000373,8,1000,male,13,20150829
user_0000374,8,22,male,3,20160119
user_0000375,1,23,,13,20160222
user_0000376,11,34,male,3,20150119
user_0000377,2,17,female,4,20160118
user_0000378,20,46,female,4,20161008
user_0000379,1,41,,9,20150126
user_0000380,3,41,,3,20150420
user_0000381,15,28,,3,20160825
user_0000382,19,36,female,4,20151213
user_0000383,19,48,male,3,20150219
user_0000384,1,34,,3,20151229
user_0000385,20,41,male,4,20150621
user_0000386,1,36,,9,20160325
user_0000387,11,48,male,7,20150807
user_0000388,1,30,male,9,20150216
user_0000389,14,15,female,7,20161212
user_0000390,4,37,male,7,20160422
user_0000391,14,28,,9,20161124
user_0000392,12,19,male,7,20150321
user_0000393,1,27,,7,20150920
user_0000394,1,24,female,3,20151023
user_0000395,1,35,male,3,20151009
user_0000396,11,37,male,7,20161026
user_0000397,1,23,male,3,20150517
user_0000398,21,0,,9,20150906
user_0000399,20,42,female,4,20150731
user_0000400,6,22,,3,20160217
user_0000401,16,-1,male,13,20150304
user_0000402,12,29,male,3,20160405
user_0000403,1,23,male,4,20161127
user_0000404,1,34,male,3,20160119
user_0000405,10,29,male,13,20150919
user_0000406,3,15,male,4,20161112
user_0000407,15,31,,9,20150604
user_0000408,10,19,,3,20150325
user_0000409,19,22,male,9,20150311
user_0000410,1,15,male,7,20160905
user_0000411,2,44,male,7,20150422
user_0000412,16,33,female,13,20150828
user_0000413,1,0,male,4,20150127
user_0000414,1,37,female,4,20150504
user_0000415,2,32,male,7,20151107
user_0000416,1,2015,female,9,20160705
user_0000417,10,24,female,3,20160919
user_0000418,1,30,female,7,20160911
user_0000419,1,35,male,3,20161201
user_0000420,1,39,male,4,20151123
user_0000421,18,28,,7,20150705
user_0000422,3,2015,,3,20161001
user_0000423,13,37,male,7,20150326
user_0000424,10,40,male,3,20161215
user_0000425,1,1000,male,13,20151014
user_0000426,1,28,male,4,20160413
user_0000427,1,0,female,4,20150116
user_0000428,17,32,female,7,20161224
user_0000429,2,43,,4,20160910
user_0000430,7,24,female,7,20150204
user_0000431,1,37,,3,20150822
user_0000432,1,34,male,4,20160512
user_0000433,9,-1,,4,20150820
user_0000434,8,34,male,13,20150602
user_0000435,11,27,,3,20161101
user_0000436,1,20,,4,20160323
user_0000437,16,47,male,7,20161212
user_0000438,10,1000,male,4,20160624
user_0000439,2,31,male,3,20161120
user_0000440,12,46,male,4,20160209
user_0000441,17,41,female,3,20160122
user_0000442,1,25,female,3,20160223
user_0000443,1,37,male,9,20150913
user_0000444,21,32,male,3,20150405
user_0000445,14,27,male,4,20150304
user_0000446,19,29,,7,20160108
user_0000447,13,34,,7,20161228
user_0000448,1,37,female,4,20160304
user_0000449,21,35,female,9,20150128
user_0000450,18,30,male,4,20161202
user_0000451,1,20,male,7,20160919
user_0000452,11,26,female,9,20150504
user_0000453,11,37,female,7,20161012
user_0000454,1,31,male,7,20150117
user_0000455,3,29,female,4,20160909
user_0000456,4,28,female,4,20160711
user_0000457,1,32,female,4,20161007
user_0000458,1,0,,7,20150510
user_0000459,1,28,male,4,20151121
user_0000460,1,18,female,4,20150520
user_0000461,1,48,male,7,20161019
user_0000462,4,35,male,4,20151031
user_0000463,1,26,male,3,20151002
user_0000464,1,32,female,9,20150905
user_0000465,1,39,male,4,20161218
user_0000466,19,50,female,9,20151102
user_0000467,10,40,male,9,20150208
user_0000468,1,21,male,4,20160518
user_0000469,9,2015,female,7,20161020
user_0000470,1,42,male,3,20161130
user_0000471,1,1000,male,4,20151015
user_0000472,2,17,female,9,20160427
user_0000473,1,20,female,4,20160314
user_0000474,10,52,male,4,20161105
user_0000475,8,35,female,7,20150128
user_0000476,6,23,female,7,20150531
user_0000477,2,21,male,4,20150110
user_0000478,1,15,,4,20160616
user_0000479,2,26,male,3,20150319
user_0000480,12,2015,male,3,20150826
user_0000481,1,24,,3,20150622
user_0000482,7,46,male,4,20150521
user_0000483,4,48,male,13,20150818
user_0000484,19,28,,3,20161027
user_0000485,20,0,female,4,20160502
user_0000486,11,18,male,3,20150101
user_0000487,1,0,male,4,20151119
user_0000488,18,44,female,13,20151118
user_0000489,2,0,male,9,20160414
user_0000490,14,27,female,3,20150512
user_0000491,6,30,female,3,20150727
user_0000492,1,40,male,9,20150708
user_0000493,1,34,female,4,20150320
user_0000494,1,30,female,7,20161203
user_0000495,6,22,male,3,20160803
user_0000496,3,39,,9,20160607
user_0000497,1,34,female,3,20160325
user_0000498,17,2015,female,4,20160613
user_0000499,9,16,female,3,20161026
user_0000500,14,2015,female,4,20161216
user_0000501,14,15,female,9,20161129
user_0000502,13,35,female,9,20150112
user_0000503,13,24,female,4,20151218
user_0000504,21,25,male,7,20170114
user_0000505,5,30,female,4,20150530
user_0000506,18,2015,male,3,20160406
user_0000507,5,35,female,4,20150512
user_0000508,14,27,female,3,20150331
user_0000509,1,45,male,3,20151208
user_0000510,17,20,female,7,20161209
user_0000511,1,40,female,7,20150811
user_0000512,1,2015,male,3,20160119
user_0000513,1,31,,7,20160625
user_0000514,5,33,female,9,20150906
user_0000515,1,38,male,4,20151222
user_0000516,1,48,male,3,20150920
user_0000517,2,42,female,7,20160316
user_0000518,7,27,female,3,20160304
user_0000519,19,28,female,7,20150921
user_0000520,9,25,female,3,20150921
user_0000521,8,20,female,7,20160814
user_0000522,14,26,,3,20150726
user_0000523,3,23,male,4,20160128
user_0000524,1,22,female,4,20160421
user_0000525,1,36,female,7,20161009
user_0000526,17,1000,,3,20150806
user_0000527,1,34,female,13,20151226
user_0000528,1,36,male,3,20150424
user_0000529,1,37,female,3,20161007
user_0000530,4,33,female,3,20151125
user_0000531,10,37,female,3,20160914
user_0000532,1,1000,,4,20160403
user_0000533,1,32,female,7,20150805
user_0000534,10,29,female,7,20160716
user_0000535,10,40,female,3,20150813
user_0000536,1,31,female,3,20150331
user_0000537,10,21,,3,20170122
user_0000538,9,43,male,7,20160827
user_0000539,13,28,,4,20151105
user_0000540,5,38,male,13,20150126
user_0000541,4,38,male,7,20160422
user_0000542,11,38,,7,20161115
user_0000543,14,1000,male,7,20161122
user_0000544,6,24,female,7,20161125
user_0000545,1,20,female,3,20160214
user_0000546,18,-1,female,3,20160725
user_0000547,9,15,female,4,20150220
user_0000548,14,41,female,4,20160627
user_0000549,9,0,male,3,20151108
user_0000550,21,29,,4,20160806
user_0000551,1,0,male,7,20160207
user_0000552,9,1000,female,3,20150303
user_0000553,1,45,male,3,20161221
user_0000554,9,36,male,3,20160221
user_0000555,2,23,male,3,20161216
user_0000556,11,24,male,13,20170109
user_0000557,1,1000,male,3,20150728
user_0000558,8,34,,3,20160129
user_0000559,15,29,male,3,20150327
user_0000560,1,35,male,4,20150418
user_0000561,14,32,male,3,20160113
user_0000562,1,21,female,4,20150603
user_0000563,20,46,male,3,20151115
user_0000564,7,41,female,3,20161218
user_0000565,21,33,female,9,20160730
user_0000566,6,15,female,3,20160405
user_0000567,1,38,male,7,20160103
user_0000568,12,27,female,4,20150613
user_0000569,5,36,male,4,20150502
user_0000570,1,36,male,9,20161223
user_0000571,4,19,female,3,20151031
user_0000572,17,35,male,13,20160528
user_0000573,1,0,female,9,20150524
user_0000574,1,24,male,7,20160912
user_0000575,1,37,female,3,20160823
user_0000576,13,30,female,7,20160226
user_0000577,1,1000,male,7,20160207
user_0000578,1,36,,7,20160425
user_0000579,14,2015,female,3,20160726
user_0000580,1,2015,female,13,20170127
user_0000581,17,23,male,9,20150408
user_0000582,4,35,male,3,20150728
user_0000583,14,31,female,3,20170130
user_0000584,16,42,female,3,20150829
user_0000585,2,29,,9,20151203
user_0000586,14,21,female,9,20150425
user_0000587,9,27,female,13,20160420
user_0000588,1,-1,female,7,20151207
user_0000589,16,1000,male,7,20160823
user_0000590,3,23,,7,20151025
user_0000591,1,43,,4,20160618
user_0000592,3,18,male,13,20160406
user_0000593,1,-1,female,7,20161215
user_0000594,7,25,,3,20150515
user_0000595,8,36,male,4,20150425
user_0000596,12,33,female,3,20161230
user_0000597,19,0,female,7,20160725
user_0000598,10,17,,7,20160623
user_0000599,1,21,female,4,20161228
user_0000600,1,25,female,9,20160522
user_0000601,13,48,male,7,20160820
user_0000602,1,46,female,3,20150309
user_0000603,17,18,,3,20160910
user_0000604,1,32,male,3,20150325
user_0000605,14,18,male,3,20150406
user_0000606,3,28,female,3,20150303
user_0000607,10,45,female,4,20150709
user_0000608,1,40,female,13,20151230
user_0000609,11,34,,3,20170119
user_0000610,6,15,male,9,20161223
user_0000611,12,24,female,7,20150911
user_0000612,1,21,male,9,20161224
user_0000613,4,51,male,4,20160429
user_0000614,14,30,male,3,20160107
user_0000615,14,43,female,9,20160314
user_0000616,14,35,male,3,20160627
user_0000617,1,30,female,3,20170122
user_0000618,21,26,male,9,20150812
user_0000619,6,45,male,7,20150913
user_0000620,3,-1,,3,20150306
user_0000621,3,2015,female,3,20150710
user_0000622,11,32,male,13,20160303
user_0000623,16,24,female,3,20160113
user_0000624,1,38,female,7,20150601
user_0000625,14,23,male,3,20160908
user_0000626,9,33,male,9,20160923
user_0000627,3,22,male,3,20150712
user_0000628,1,15,,4,20150408
user_0000629,1,41,,3,20150312
user_0000630,19,39,,4,20150919
user_0000631,5,32,female,9,20150609
user_0000632,14,16,male,3,20150822
user_0000633,1,21,,3,20160702
user_0000634,10,34,male,7,20150528
user_0000635,1,18,female,7,20150318
user_0000636,16,58,male,3,20150101
user_0000637,14,22,male,7,20160326
user_0000638,17,27,male,4,20150320
user_0000639,1,-1,male,9,20170109
user_0000640,13,1000,male,3,20160507
user_0000641,1,1000,female,7,20161108
user_0000642,19,39,male,7,20160318
user_0000643,2,1000,female,7,20150719
user_0000644,1,33,male,3,20151129
user_0000645,8,28,male,7,20150110
user_0000646,12,30,,7,20150411
user_0000647,15,34,male,4,20150123
user_0000648,15,1000,female,3,20160211
user_0000649,9,42,male,13,20160825
user_0000650,1,-1,female,7,20160227
user_0000651,11,41,male,3,20160907
user_0000652,1,28,female,7,20161022
user_0000653,4,26,,3,20150405
user_0000654,1,26,male,4,20151127
user_0000655,17,30,male,9,20160503
user_0000656,19,19,,4,20151218
user_0000657,9,26,female,3,20150603
user_0000658,1,35,male,3,20160402
user_0000659,16,27,male,3,20150831
user_0000660,20,21,,3,20150925
user_0000661,9,20,male,3,20160220
user_0000662,13,23,,3,20160304
user_0000663,18,-1,male,3,20170102
user_0000664,1,2015,female,4,20151029
user_0000665,16,45,male,3,20150213
user_0000666,1,48,female,7,20150809
user_0000667,10,28,male,13,20160628
user_0000668,20,23,male,3,20150115
user_0000669,5,25,male,4,20161102
user_0000670,13,20,female,4,20150325
user_0000671,1,32,male,3,20151220
user_0000672,1,24,female,3,20160221
user_0000673,1,39,,9,20161124
user_0000674,1,23,,4,20150318
user_0000675,1,33,male,9,20151018
user_0000676,16,15,male,3,20150926
user_0000677,1,28,male,4,20150126
user_0000678,12,31,female,9,20160704
user_0000679,9,32,female,9,20151114
user_0000680,1,27,,3,20170108
user_0000681,3,31,male,4,20160109
user_0000682,18,32,male,3,20161119
user_0000683,4,1000,female,7,20160405
user_0000684,13,44,,3,20150115
user_0000685,15,29,female,3,20150210
user_0000686,16,39,,9,20160321
user_0000687,7,44,,4,20150203
user_0000688,4,41,female,4,20160302
user_0000689,1,37,male,13,20150409
user_0000690,3,36,male,3,20151205
user_0000691,1,43,male,3,20150421
user_0000692,5,44,female,4,20150221
user_0000693,19,27,male,3,20150610
user_0000694,13,31,male,3,20170122
user_0000695,20,46,female,4,20160423
user_0000696,8,36,female,13,20150928
user_0000697,1,21,female,4,20150929
user_0000698,3,33,female,7,20160901
user_0000699,19,39,male,3,20161024
user_0000700,13,37,,4,20151124
user_0000701,1,33,female,7,20161028
user_0000702,21,31,female,4,20150811
user_0000703,9,29,male,9,20161110
user_0000704,2,22,female,4,20151027
user_0000705,1,36,female,3,20161008
user_0000706,1,2015,male,4,20160218
user_0000707,16,25,male,4,20170129
user_0000708,4,25,female,3,20160724
user_0000709,8,26,female,7,20160223
user_0000710,1,29,female,9,20150102
user_0000711,1,48,female,3,20151028
user_0000712,15,33,female,4,20150627
user_0000713,6,37,female,7,20151124
user_0000714,10,32,male,4,20150412
user_0000715,20,33,,3,20150324
user_0000716,1,31,,3,20150704
user_0000717,1,17,,4,20150503
user_0000718,1,42,male,7,20150124
user_0000719,19,38,,4,20170102
user_0000720,1,1000,,3,20150130
user_0000721,19,37,female,9,20160622
user_0000722,19,42,male,13,20160608
user_0000723,2,28,female,3,20161101
user_0000724,12,39,,3,20150119
user_0000725,12,55,female,3,20161104
user_0000726,1,46,male,9,20151217
user_0000727,17,35,male,9,20160925
user_0000728,1,18,male,3,20161022
user_0000729,1,15,male,3,20151008
user_0000730,15,28,,3,20150126
user_0000731,1,38,male,4,20150207
user_0000732,12,29,male,13,20160610
user_0000733,16,36,female,3,20151128
user_0000734,7,37,male,3,20150501
user_0000735,1,0,female,4,20170116
user_0000736,2,45,male,4,20161214
user_0000737,17,36,,7,20150403
user_0000738,13,29,female,4,20170113
user_0000739,16,30,male,3,20160213
user_0000740,2,25,male,3,20170114
user_0000741,21,58,female,13,20150506
user_0000742,3,41,male,7,20160105
user_0000743,6,40,female,3,20160912
user_0000744,8,20,male,9,20150505
user_0000745,12,22,female,3,20161004
user_0000746,14,35,female,9,20160616
user_0000747,1,39,female,3,20150329
user_0000748,1,39,male,9,20160120
user_0000749,17,46,male,3,20160426
user_0000750,1,38,male,4,20160708
user_0000751,1,31,female,7,20170124
user_0000752,1,32,male,4,20150728
user_0000753,1,40,female,3,20150830
user_0000754,1,44,,3,20151014
user_0000755,1,45,female,3,20160115
user_0000756,1,39,male,3,20150114
user_0000757,16,1000,female,3,20151129
user_0000758,4,28,male,3,20150909
user_0000759,21,36,female,4,20151019
user_0000760,1,26,male,3,20161013
user_0000761,8,31,female,4,20160117
user_0000762,21,49,male,3,20150323
user_0000763,18,22,male,3,20150601
user_0000764,4,32,,3,20160516
user_0000765,18,31,,7,20160120
user_0000766,21,34,female,3,20160912
user_0000767,1,38,female,4,20151205
user_0000768,6,25,female,7,20160814
user_0000769,1,28,,4,20161218
user_0000770,1,27,female,9,20150420
user_0000771,4,23,female,9,20151023
user_0000772,1,31,female,3,20160528
user_0000773,13,2015,male,7,20161123
user_0000774,16,28,male,3,20150303
user_0000775,8,23,male,3,20160622
user_0000776,1,20,female,4,20150519
